# Emoji suggestion keywords, generated by tools/generate_emoji_keywords.py
# from Unicode CLDR emoji annotations (English).
# Data (c) Unicode, Inc. - https://www.unicode.org/copyright.html
# License: https://www.unicode.org/license.txt
# Format: keyword<TAB>emoji,emoji,... (best suggestion first).
# Hand-tuned aliases (e.g. 'taking off', 'lol') are merged into the
# table by the generator's ALIASES dict — edit there and regenerate.
ab	🆎
bubble	💬,👁‍🗨,🗨,🗯,💭,🧋,🫧
bubbles	🫧
bucket	🪣
buckingham	💂,💂‍♂,💂‍♀
buddhism	🪷
buffalo	🦬,🐃
bug	🐛,🪲,🦗
build	👷,👷‍♂,👷‍♀,📲
building	🏰,🏯,🏛,🏗,🏠,🏡,🏢,🏣,🏤,🏥,🏦,🏨,🏩,🏪,🏫,🏬,🏭,🌆,🌇
bulb	💡
bull	🎯,🐂
bullet	🚅
bullseye	🎯
bumblebee	🐝
bump	👊
bundle	🧣,🧥
bunny	👯,🐰,🐇,👯‍♂,👯‍♀
buoy	🛟
burger	🍔
burgers	🥬
burn	🔥,❤‍🔥,🪼
burp	🫧
burrito	🌯
burro	🫏
bury	🪏
bus	🚌,🚎,🚐,🚏,🚋,🚍
business	🧑‍💼,👨‍💼,👩‍💼,🕴,🈺
busstop	🚏
bust	👤,👥
busts	👥
but	😥
butter	🧈
buttercup	🌼
butterflies	😟
butterfly	🦋
button	🔄,🔀,🔁,🔂,🔼,🔽,🔅,🔆,🅰,🆎,🅱,🆑,🆒,🆓,🆔,🆕,🆖,🅾,🆗,🅿,🆘,🆙,🆚,🈁,🈂,🈷,🈶,🈯,🉐,🈹,🈚,🈲,🉑,🈸,🈴,🈳,🈺,🈵,🔘,🔳,🔲
bye	👋
cab	🚕,🚖
cabbage	🥦,🥬
cabbie	🚕,🚖
cabinet	🗄
cable	🚠,🚡
cableway	🚠
caboose	🚂
cactus	🌵
caddy	🏌️,🏌‍♂,🏌‍♀
cafe	☕
caffeine	☕
cake	🎂,🍰,🍥,🥮
calculation	🧮
calculator	🧮
calendar	📅,📆,🗓
call	😥,🤙,📲
calm	😌,🪷
camcorder	📹
camel	🐪,🐫
camera	📷,📹,🤳,🎥,📸,🎦
camping	⛺,🏕️,🥾
can	🥫,🗑
cancer	🦀
candelabrum	🕎
candle	🕯️
candlestick	🕎
candy	🍫,🍬,🍭,🪅
cane	🧑‍🦯,👨‍🦯,👩‍🦯,🦯,🩼
canned	🥫
canoe	🚣,🚣‍♂,🚣‍♀,🛶
cantaloupe	🍈
cap	👲,🎓,🧢
capricorn	🐐
capsicum	🫑
captivated	🫣
car	🚗,🚕,🚙,🏎️,🚓,🛻,🚚,🚛,🚨,🚃,🚞,🚋,🚔,🚘,🛞,🚡
carbs	🍞
card	🃏,🎴,💳,🗂,📇,🗃,🪧,🪪,🟥,🟨
cardiac	💛
cardio	💓
cardiology	🫀
cards	🎴
care	💅
carousel	🎠
carp	🎏
carpenter	🪚
carpentry	🪚
carrot	🥕
cars	🚍,🚖,🚘
cart	🛒
cartoon	💭
cartwheel	🤸,🤸‍♂,🤸‍♀
cartwheeling	🤸,🤸‍♂,🤸‍♀
case	🛄,🛅
cash	💰,💷,💸,💳,🏧,💲
casino	🎰
cask	🪣
casserole	🥘
castle	🏰,🏯
casual	👕,👖
cat	🐱,🐈,🐯,😺,😸,😹,😻,😼,😽,🙀,😿,😾,🐈‍⬛,🐅,🐆
catch	🤾,🫴,🤾‍♂,🤾‍♀,🪝
cats	🐈
caught	😦
cavities	🍬
caw	🐦‍⬛
cd	💿,📀
celebrate	🥳,🎈,🎉,🥂,🎊,🪅
celebration	🥳,🙌,🎅,🤶,🎂,🎖️,🎗️,🎈,🎉,🎁,🧑‍🎄,🎃,🎄,🎆,🎇,🎊,🎋,🎍,🎎,🎏,🎐,🎑,🎀,🪅,🎓,🎌
cell	📱,📲,📵,📶,📳,📴
cemetery	🪦
censor	🤬
cereal	🥣
ceremony	🎑
cha	🪇
chai	☕
chain	⛓‍💥
chair	💺,🪑
champion	🏆
championship	⛹️
champs	🏆
change	🪸
changing	🚼
chapel	💒
charge	💳,💲,🈂,🈶,🈚
charm	🧿
chart	💹,📈,📉,📊
checked	🛄
checkered	🏁
cheerful	😀
cheering	📣
cheers	🍻,🥂
cheery	😀
cheese	🧀,🍕,🫕,🪤
chef	🧑‍🍳,👨‍🍳,👩‍🍳,🔪
chemist	🧑‍🔬,👨‍🔬,👩‍🔬,🧪
chemistry	🧪
chemotherapy	🦲
chequered	🏁
cherries	🍒
cherry	🌸,🍒
chess	♟️
chest	🧰,🪎
chestnut	🌰
chevron	🔰
chick	🐣,🐤,🐥
chicken	🐔,🍗
chickpea	🧆
child	👧,🧒,👦,👪,🧑‍🧑‍🧒,🧑‍🧑‍🧒‍🧒,🧑‍🧒,🧑‍🧒‍🧒,🚸
children	👶,🚸
chilling	😎
chime	🎐
chin	🤔
chinese	👲
chip	🍪
chipmunk	🐿️
chocolate	🍪,🍫,🫕
choo	🚆
chop	💇,💇‍♂,💇‍♀,🥩,🪓
