# Emoji suggestion keywords, generated by tools/generate_emoji_keywords.py
# from Unicode CLDR emoji annotations (English).
# Data (c) Unicode, Inc. - https://www.unicode.org/copyright.html
# License: https://www.unicode.org/license.txt
# Format: keyword<TAB>emoji,emoji,... (best suggestion first).
# Hand-tuned aliases (e.g. 'taking off', 'lol') are merged into the
# table by the generator's ALIASES dict — edit there and regenerate.
ab	🆎
shade	😐,😏,🙄,😡,😠,😈,👿
shades	😎
shadow	👤
shaka	🤙
shake	🤝,🙂‍↔,🫱,🫲,🪇
shaker	🧂,🪇
shaking	🫨,🙂‍↔,🙂‍↕
shallow	🥘
shampoo	🧴
shamrock	☘️
shape	🧲
shark	🦈
sharp	🪒
shave	💈,🪒
shaved	🍧
shaven	🦲
sheaf	🌾
shears	💇,💇‍♂,💇‍♀
shedding	🌳
sheep	🐑,🐏
shell	🐚
shellfish	🦐
shelter	🛖
shh	🤫,🙉
shield	🛡
shiitake	🍄‍🟫
shine	🌞
shining	💫,🌟
shinkansen	🚄,🚅
shiny	💍
ship	🚢,⚓,🛳,🔱
shipping	📦
shirt	🎽,👔,👕,👚
shock	🤭,🫢,🫨,🤦,🤦‍♂,🤦‍♀
shocked	🤯,😮,😲,😱,🫪
shoe	🩴,👞,👟,🥾,🥿,👠,👡,👢
shoes	🩰,👞,👟,👠,👢
shoo	🫳
shooting	💫,🌠
shopping	👕,👖,👗,👚,👛,👜,🛍,👞,👟,👠,👢,🛒
shortcake	🍰
shorts	🩳
shot	🥃,💉
shovel	🪏
shower	🚿
showing	🌍,🌎,🌏
shrimp	🦐,🍤
shroom	🍄‍🟫
shrub	🪻
shrug	🤷,🤷‍♂,🤷‍♀
shrugging	🤷,🤷‍♂,🤷‍♀
shuffle	🔀
shush	🤫
shushing	🤫
shut	🤐
shuttlecock	🏸
shy	🫣,🪭
sick	😷,🤒,🤢,🤧,😵,🤮,💉,💊
side	🍳
side eye	🙄,👀
sigh	😮‍💨
sign	🤘,🛑,🪧,🏧,🚮,🟰,💲
signal	🚥,🚦,📶
sikh	🪯
sikhism	🪯
silence	😶
silent	😶,🔇,🔕
silhouette	🗣️,👤,👥
silly	👻,🪿
silver	🥈,🩶,🪙,🪎
simple	🏠,🏡
sing	🎤
singer	🧑‍🎤,👨‍🎤,👩‍🎤
single	🔂
sir	🫡
siren	🧜,🚨,🧜‍♂,🧜‍♀
sisters	👭
sit	🪑
six	🕕,🕡
skate	🛹,⛸️,🛼
skateboard	🛹
skater	🛹
skates	🛼
skating	⛸️
skeleton	🦴,🩻
skeptic	🤨
skeptical	🤨,🫤
skepticism	🤨
skewer	🍢,🍡
ski	🎿,⛷️,🏂,🫕,🚠
skier	⛷️
skill	🤹,🤹‍♂,🤹‍♀
skills	🥷
skin	🏻,🏼,🏽,🏾,🏿
skis	🎿
skull	💀,🩻
skullcap	👲
skunk	🦨
sky	🩵
skydive	🪂
slap	🫷,🫸
slash	🔕
slate	🩶
slay	😎,🏆
sled	🛷
sledge	🛷
sleep	😪,😴,🥱,💤,🛌,🛏
sleeping	😪,😴,💤
sleepy	😪,😩,🫩,🥱,💤
sleigh	🛷
sleuth	🕵️,🕵‍♂,🕵‍♀
slice	🍕,🍰,🥧
slick	😏
slide	😉,🛝,🪊,📐
slider	🎚
sliding	🛝
slightly	🙂,🙁
slipper	🥿
slot	🎰
sloth	🦥
slots	🎰
slow	🦥
slug	🐌
slurp	👅
sly	😏,🥷,🦝
small	🤪,🤏,🦐,🫘,🛩,🌤,🔸,🔹
smart	🤓,🧠
smartphone	🛜
smell	👃,🐽
smells	👃
smelly	💩
smh	😒,💩,🙈,🤦,🤦‍♂,🤦‍♀
smile	😀,😃,😄,😁,😆,😅,🙂,😊,😇,🥰,😍,🤩,😋,😬,😎,😈,🙃,😙,🥲,😺,😸,😻,😼
smiley	🥲,😮‍💨,😵‍💫
smiling	😀,😃,😄,😁,😆,😅,🙂,😊,😇,🥰,😍,😋,🤗,😬,😎,😈,😙,🥲,😺,😸,😻
smirk	😏
smirking	😏
smoke	😮‍💨,💨,🚫,🚭
smoking	🚬,🚭
smooch	😘,😗
smooches	😗,😚
sms	💬
smug	😏
snail	🐌
snake	🐍
snap	📷,🫰
snapdragon	🪻
snare	🪤
sneaker	👟
sneeze	🤧,😫
sneezing	🤧
snicker	😏
snorkeling	🤿
snout	🐽
snow	❄️,⛄,🌨️,🛷,🎿,⛷️,🏂,🏔️,🌨,🪏
snowboard	🏂
snowboarder	🏂
snowman	⛄
soak	🧽
soap	🧼,🫧
soapdish	🧼
soar	🪁,🪽
sob	😭
soccer	⚽
socks	🧦
soda	🥤
soft	🍦,🥤,🔈
softball	🥎
software	🧑‍💻,👨‍💻,👩‍💻
soldier	🥷,🪖
solid	🪨
solidarity	✊
somersault	🤸,🤸‍♂,🤸‍♀
son	👦
soon	🔜
soothe	💆,💆‍♂,💆‍♀
sorcerer	🧙,🧙‍♂,🧙‍♀
sorceress	🧙,🧙‍♂,🧙‍♀
sorcery	🧙,🧙‍♂,🧙‍♀
sorry	😕,🙇,🙇‍♂,🙇‍♀
sort	🤏
sos	🆘
soulmate	👯,👯‍♂,👯‍♀
sound	🎤,🎧,👂,🔇,🔈,🔉,🔊,📢,📣,🔔,🔕,🎵,🎶
soup	🍜,🍲
sour	🍋,🍋‍🟩
sow	🐖
soybean	🫛
spa	💆,💆‍♂,💆‍♀,🧖,🧖‍♂,🧖‍♀
space	🌙,🚀,👽,👾,🧑‍🚀,👨‍🚀,👩‍🚀,🛰,🌑,🌒,🌓,🌔,🌕,🌖,🌗,🌘,🌚,🌛,🌠,🌌
spade	🪏
spaghetti	🍝
spanner	🛠,🔧
spark	🧨
sparkle	💖,🌟,🎇
sparkler	🎇
sparkling	💖,💍
speak	🗣️,🙊
speaker	🔇,🔈,🔉,🔊
speaking	🗣️
special	🩷,🩵,🩶
speculum	🪞
speech	💬,👁‍🗨,🗨
speechless	😶
speed	🏃,🏃‍♂,🏃‍♀,🚄,🚅
speedboat	🚤
spell	🧙,🧙‍♂,🧙‍♀
spew	🤮
spice	🫚
spider	🕷,🕸
spill	🫗,🫟
spin	🚲
spinning	🚲
spiny	🦔
spiral	😵‍💫,🐚,🗒,🗓
spirit	😇
splashing	💦
splatter	🫟
splayed	🖐️
split	🪓
sponge	🧽
spool	🧵
spoon	🥣,🥄
spore	🍄‍🟫
sport	⚽,🏀,🏈,⚾,🎾,🏉,⛳,🎣,🎿,🏂,🤾,🏇,🏄,🏊,🤽,🚵,🚴,🏆,🎳,🚙,🏄‍♂,🏄‍♀,🏊‍♂,🏊‍♀,🚴‍♂,🚴‍♀,🚵‍♂,🚵‍♀,🤽‍♂,🤽‍♀,🤾‍♂,🤾‍♀,🛼,🏁
sports	🥎,🥍,🏅
sportutility	🚙
spots	🦒
spouting	🐳
spring	🐝,🌸,🪻
springtime	🌸
sprinkles	🧁
sprout	🌱,🍄‍🟫
spy	🕵️,🥸,🕵‍♂,🕵‍♀
square	🟥,🟧,🟨,🟩,🟦,🟪,🟫,🔳,🔲
squeeze	🪗
squeezebox	🪗
squid	🦑
squinting	😆,😝
squirrel	🐿️
squirt	💦
stadium	🏟️
stain	🫟
stand	🧍,🧍‍♂,🧍‍♀
standing	🧍,🧍‍♂,🧍‍♀
star	🤩,⭐,💫,🧑‍🎤,👨‍🎤,👩‍🎤,🌃,🌟,🌠,🔯
stare	🫣
stars	⭐,💫,🌃
station	⛽,🚉
statue	🗿,🗽
steak	🥩
stealth	🙊,🥷
steam	😤,🚂,🧖,🧖‍♂,🧖‍♀
steambath	🧖,🧖‍♂,🧖‍♀
steaming	🍜,☕
steamy	🧖,🧖‍♂,🧖‍♀
stein	🍺
step	🪜
stethoscope	🩺
stew	🍲
stick	🏒,🥍,🍢,🍡,🏑,🩼
stiletto	👠
sting	🪼
stinger	🪼
stink	💩,🦨
stinks	💩
stinky	💩
stitches	🪡
stocking	🧦
stomp	🦶
stone	🥌,💎,🪨
stoneface	🗿
stop	✋,🖐️,🚏,🚥,🚦,🫷,🫸,🛑
stoplight	🚥,🚦
store	🫙,🏪,🏬
straight	😐,😑,📏
straightedge	📏
strat	🎸
straw	🧃,🥤
strawberry	🍓
streamer	🎏
stress	😅,😟
stressed	😅,😟,😧
stride	🚶,🚶‍♂,🚶‍♀
strike	🎳
string	🧵
stringed	🪕
stripe	🦓
stroke	🥵
stroll	🚶,🚶‍♂,🚶‍♀
strong	💪,🦁
stub	🎫
stubborn	🫏
student	🧑‍🎓,👨‍🎓,👩‍🎓
studio	🎙
study	📚
stuffed	🫄,🥙,🧸
stuffy	🧐
stunned	😯
style	😎,💇,💇‍♂,💇‍♀
suave	😏
suburban	🏠,🏡
suburbia	🏠,🏡
subway	🚇
subzero	🥶
sucks	😔
suction	🪠
sudden	🤭
sugar	🧁
suit	🕴,🩱,🩲,🩳,👙
suitcase	🧳
sulk	🙎,🙎‍♂,🙎‍♀
summer	🍺,🚤
summon	🧙,🧙‍♂,🧙‍♀
sun	☀️,🌞,🌻,🌄,🌅,🌆,🌇,🌤,🌥,🌦
sunflower	🌻
sunglasses	😎,🕶
sunny	🍳,🌞
sunrise	🌄,🌅
sunscreen	🧴
sunset	🌆,🌇
sunshine	🌞
super	🏈
superhero	🦸,🦸‍♂,🦸‍♀
supernatural	🧛,🧛‍♂,🧛‍♀
superpower	🦸,🦹,🦸‍♂,🦸‍♀,🦹‍♂,🦹‍♀
supervillain	🦹,🦹‍♂,🦹‍♀
sure	😕,👌
surf	🏄,🏄‍♂,🏄‍♀,🌊
surfer	🏄,🏄‍♂,🏄‍♀,🌊
surfing	🏄,🏄‍♂,🏄‍♀,🌊
surprise	🤭,😦,😧,🎁,🫢,🤨,🫨
surprised	😟,😮,😯,😱,🫪,🙀
sushi	🍣
suspension	🚟
suspicious	😏
sutures	🪡
swag	😏,😎
swan	🦢
swearing	🤬
sweat	😅,😰,😥,😓,💦,💧
sweating	🥵
sweeping	🧹
sweet	👌,🍠,🍦,🍧,🍨,🍩,🍪,🎂,🍰,🧁,🍫,🍬,🍭,🧃,😛,🩷,🍡,🍮,🍯
swell	🏄,🏄‍♂,🏄‍♀
swerve	👐
swim	🏊,🏊‍♂,🏊‍♀,🛟,👙
swimmer	🏊,🏊‍♂,🏊‍♀
swimming	🏊,🤽,🏊‍♂,🏊‍♀,🤽‍♂,🤽‍♀,🥽
swimsuit	🩱,🩲,🩳
swirl	🍥
sword	🤺
symbol	💢,🚼,🔰
symbols	🤬,🔣
sympathy	😮
synagogue	🕍
syringe	💉
table	🏓
tableware	🥄
tabs	📑
tache	🥸
taco	🌮
tada	🎉
taekwondo	🥋
tag	🏷
tai	🍹
tailoring	🪡
takeout	🥡
taking	🛀
taking off	🛫,✈️
tale	😇,😈,💀,👻,🤴,👸,👼,🎅,🤶,🧚,👿,👹,👺,👽,👾,🧑‍🎄,🧚‍♂,🧚‍♀,🧌,🐲,🐉,🔮
talisman	🧿
talk	💬,🦜
tamale	🫔
tanabata	🎋
tangerine	🍊
tangled	🪢
tango	🕺,💃
tangy	🍋‍🟩
tape	📼
target	🎯
tash	🥸
taste	😝,🧂
tasty	😋
taurus	🐂
taxi	🚕,🚖
tbt	📷,📹,📻
tea	☕,🍵,🫖,🧋
teacher	🧑‍🏫,👨‍🏫,👩‍🏫
teacup	🍵
teal	🩵
teapot	🫖
tear	🤣,😂,😢,😭,🥲,😹,😿,💧
tears	😂,😭,🥹,😹
tease	😉
technologist	🧑‍💻,👨‍💻,👩‍💻
teddy	🧸
tee	🏌️,🏌‍♂,🏌‍♀
teeth	😀,😃,😁,🥶,🧛,🦷,🧛‍♂,🧛‍♀,🦫,🪥
tegh	🪯
telephone	📱,📲,📞,📵,📶,📳,📴
telescope	🔭
television	📺
tell	🫴
teller	🏧
temple	🛕,🕍
tempura	🍤
ten	🕙,🕥
tennis	🎾,🏓,👟
tension	💆,💆‍♂,💆‍♀
tent	🎪,⛺
tentacles	🪼
tequila	🍋‍🟩
terrapin	🐢
terrestrial	🛸
test	🧪
text	💬
thanks	🙏,😊,🫂
thanksgiving	🦃
the	🤣,🤘,🫵
theater	🎭
theatre	🎭
theme	🎡,🎢,🛝
therapist	🧑‍⚕,👨‍⚕,👩‍⚕
therapy	💆,💆‍♂,💆‍♀
thermometer	🤒,🌡
thespian	🎭
think	💭
thinking	🤔
third	🥉
thirty	🕧,🕜,🕝,🕞,🕟,🕠,🕡,🕢,🕣,🕤,🕥,🕦
this	☝️
thong	🩴
thongs	🩴
thought	💭
thoughts	💭
thread	🧵,🪡
three	👌,🤟,🕒,🕞
throw	⛹️,🤾,🤮,🤾‍♂,🤾‍♀
thumb	👍,👎,🫰
thumbs	👍,👎
thumbs down	👎
thumbs up	👍
thx	🙏
tichel	🧕
ticket	🎫,🎟️
tickets	🎟️
tie	🪢,👔
tiger	🐯,🐅
tilted	🔍,🔎
timber	🪵
time	😥,⌚,⏰,🕰,🕛,🕧,🕐,🕜,🕑,🕝,🕒,🕞,🕓,🕟,🕔,🕠,🕕,🕗,🕣,🕘,🕤,🕥,🕚,🕦
tipping	💁,💁‍♂,💁‍♀
tipsy	🥴
tire	🛞
tired	😪,😴,😵,😩,🫩,😫,🥱,💤,🛌
titania	🧚‍♀
tmi	🙉
toadstool	🍄
toast	🍞
toboggan	🛷
together	🤲,💏,💑
toilet	🚽,🪠,🧻,🚹,🚺,🚻,🚾
toiletry	🪥
tokyo	🗼
tomato	🍅
tomb	🪦
tombstone	🪦
tone	🏻,🏼,🏽,🏾,🏿
tongue	😜,😝,🥵,😛,👅
tool	🔥,🏹,⚓,🔍,🔦,🔨,🔫,🧰,⚙️,🔪,🏺,🔮,🔎,🛠,🪚,🔧,🪛,🔩,🗜,🔬,🔭,💉,🔱,🔰
toolbox	🧰
tooth	🍫,🍬,🦷
toothbrush	🪥
top	🎩,🔝
tophat	🎩
toppings	🍄‍🟫
torch	🔦
tornado	🌪
tortoise	🐢
toss	🤾,🤾‍♂,🤾‍♀
totally	😲
touched	🥲
tough	🪨
tournament	🤼,🤼‍♂,🤼‍♀
towels	🧻
tower	🗼
toy	🪀,🧸
trace	🫆
track	🛤
trackball	🖲
tracks	🔀
tractor	🚜
tradesperson	🧑‍🔧,👨‍🔧,👩‍🔧
traffic	🚥,🚦,🚸
train	🚂,🚆,🚉,🚃,🚄,🚅,🛤
trains	🚂
tram	🚎,🚃,🚊,🚋
tramway	🚡
trans	🌈,🏳‍🌈
transform	🐦‍🔥
transgender	🌈,🏳‍🌈,🏳‍⚧
transparent	🪟
transportation	🛻
trap	🪤
trash	🗑
travel	✈️,🚂,🚇,🚀,🚁,🚤,🚢,🗿,🚃,🚅,🧳,🛄
tray	📤,📥
treasure	🪙,🪎,🏴‍☠
treat	🧁
treatment	💆,💆‍♂,💆‍♀
tree	🌲,🌳,🌴,🪾,🎄,🎋
trend	💹,📈,📉
triangle	📐,🔺,🔻
triangular	📐,🚩
triathlon	🏊,🏊‍♂,🏊‍♀
trick or treat	🎃,👻,🍬
trident	🧜,🧜‍♂,🧜‍♀,🔱
trim	🪚
trip	📷,🚞,🛄
triste	😢
triton	🧜‍♂
triumph	😤
troll	🧌
trolley	🚎,🚋,🛒
trolleybus	🚎,🚃,🚊,🚋
trolling	🧌
trombone	🪊
troops	🫡
trophy	🏆
tropical	🐠,🌴,🥭,🍍,🦩,🍋‍🟩,🍹
tropics	🍹
trouble	😵‍💫
trousers	👖
truck	🚒,🛻,🚚,🚛
true	💯
truffle	🍄‍🟫
trumpet	🎺
trunk	🪾
truth	💯
tshirt	👕
ttfn	👋
ttyl	👋,👊
tub	🛀
tube	🧪
tuk	🛺
tulip	🌷
tumbler	🥃
turban	👳,👳‍♂,👳‍♀
turd	💩
turkey	🦃,🍗
turn	🛞
turnip	🫜
turtle	🐢
tusk	🦣
tuxedo	🤵,🤵‍♂,🤵‍♀
tv	📺
twelve	🕛,🕧
twin	👯,👯‍♂,👯‍♀
twine	🪢
twins	🧑‍🤝‍🧑,👭,👫,👬
twinsies	👯,👯‍♂,👯‍♀
twist	🪢
twisted	🥨
twister	🌀
two	💕,🐫,🕑,🕝
type	🏻,🏼,🏽,🏾,🏿,🅰,🆎,🅱,🅾
typhoon	🌀
typing	💬
tyrannosaurus	🦖
ufo	🛸,👽,👾
ugh	😒,🙄,🤌
ugly	🦢
uh	😑
uhh	😒
ultimate	🥏
um	😋
umbrella	🏖️,🌂,☔
umrah	🕋
unamused	😐,😒
unbelievable	😮
uncomfortable	🫦
undead	🧛,🧛‍♂,🧛‍♀,🧟,🧟‍♂,🧟‍♀
under	🐨,🫩,🔞
underage	🔞
underarm	🥎
undercover	👮,👮‍♂,👮‍♀
underwater	🫧
underwear	🩲,🩳
uneven	🥴
unhappy	😐,😑,😒,😧,😢,😭,😞,😩,😤,😡,😠
unicorn	🦄
uniform	🥋
unimpressed	😐,😑
unlock	🔑,🔓
unlocked	🔓
unlucky	🐈‍⬛
unreal	😮
unsure	🫤
unwind	🧖,🧖‍♂,🧖‍♀
up	👆,☝️,👍,🤲,🍳,🧗,🤮,🫳,🫴,🧗‍♂,🧗‍♀,🧣,🧥,📄,📈,🔝,🔼,🆙,🔺
uppercase	🔠
upset	😡,😠,💢,🙍,🙍‍♂,🙍‍♀,🙎,🙎‍♂,🙎‍♀,🧂
upward	💹,📈
upwards	🔼
utility	🚙
vacancy	🈳,🈵
vaccination	💉
valentine	🌹,💌,💘,💝
valuables	🪎
vampire	🧛,🦇,🧛‍♂,🧛‍♀
van	🚐
vat	🪣
vcr	📼
vegetable	🍅,🥒,🥕,🥔,🍆,🫑,🥜,🫛,🍄‍🟫,🫜
vegetarian	🍄‍🟫,🫜
veggie	🫛,🍄‍🟫
vehicle	🚗,🚕,🚙,🚌,🚑,🚐,🚚,🚛,🚜,🚁,🚝,🚘,🛞
veil	👰,👰‍♂,👰‍♀
versus	🆚
vertical	🚦,🔃
vertically	🙂‍↕
vest	🦺
vhs	📼
vibrate	🫨
vibration	📳
vice	🗜
victory	✌️,🏆
video	🎮,📷,📹,🕹,📻,📽,📺,📸,📼
videocassette	📼
videogame	🕹
view	🪟
viewer	🫵
viewing	🎑
villain	🦹,🦹‍♂,🦹‍♀
violet	🪻
violin	🎻
virgo	👧
virus	🦟,🦠
vitamin	🍊,💊
voip	📞
volcano	🌋
volleyball	🏐
volume	🔈,🔉,🔊
vomit	🤢,🤮
vomiting	🤮
vs	🆚
vu	🔄
vulcan	🖖
vulnerable	🫪
wacky	😜
waffle	🧇
wait	🫷,🫸
waiting	⏰
walk	🚶,🚶‍♂,🚶‍♀,👣
walking	🚶,🧟,🧟‍♂,🧟‍♀,🚶‍♂,🚶‍♀
wall	🧱
wand	🪄
waning	🌖,🌘
war	🥷,🪖
warrior	🪖
waste	🗑
wastebasket	🗑
watch	⌚,🙈
water	🥤,🤽,🔫,💦,🤽‍♂,🤽‍♀,🐃,🫗,💧,🌊,🚿,🚰,🚾,🚱
watermelon	🍉
waterpolo	🤽,🤽‍♂,🤽‍♀
wave	👋,🌊
waves	🏄,🏄‍♂,🏄‍♀
waving	👋,🏴,🏳
wavy	🥴
waxing	🌒,🌔
way	🤯,😲,🌌
wc	🚹,🚺,🚻,🚾
wealth	🪎
wealthy	🧐
weapon	🏹,🔫,🔪,🏺,🗡,🪃,🛡
wearing	👳,👳‍♂,👳‍♀
weary	😩,🫩,🙀
weather	🌡,🌞,🌤,🌥,🌦,🌧,🌨,🌩,🌪,🌫,🌀,🌈,☔,💧
web	🕸,🌐
wedding	🤵,👰,💎,🤵‍♂,🤵‍♀,👰‍♂,👰‍♀,💒,💍
wedge	🧀
weekend	👕,👖
weight	🏋️,🏋‍♂,🏋‍♀
weightlift	💪
weightlifter	🏋️,🏋‍♂,🏋‍♀
weights	🏋️,🏋‍♂,🏋‍♀
weird	😒
weirdo	😜
welding	🥽
well	👏,❤‍🩹
wet	💦
whale	🐳,🐋,🫍
what	😳,😦,😧,🤌,🤨
whatever	😝,😐,😑,😒,🙄,😴,🫥,🫤,🥱,💅,💁,💁‍♂,💁‍♀,🤷,🤷‍♂,🤷‍♀
wheat	🍞
wheel	🎡,🛞
wheelchair	🧑‍🦼,👨‍🦼,👩‍🦼,🧑‍🦽,👨‍🦽,👩‍🦽,🦽,🦼
wheels	🛹
where	🏠,🏡
whew	😥
whine	🙎,🙎‍♂,🙎‍♀
whirlwind	🌪
whiskers	🧔,🧔‍♂,🧔‍♀
whiskey	🥃
whisky	🥃
whisper	😮‍💨
whistle	😮‍💨
white	⭐,💟,🤍,🦷,🧑‍🦯,👨‍🦯,👩‍🦯,🦳,🐻‍❄,💮,🥼,🦯,🔳,🏳,🏳‍⚧
who	🤷,🤷‍♂,🤷‍♀
whoa	😮,😯,🫨,😵‍💫
whoops	🤭
why	🥺
wicked	🖤
wifi	🛜
wild	🥦
wildcard	🃏
wilted	🥀
win	😎,🏆,💰,🌟,👑,🏁
wind	🍃,🌬,🎐
window	🪟
wine	🍷
wing	🪽
wings	🧚,🧚‍♂,🧚‍♀,💸
wink	😉,😜
winking	😉,😜
winks	😉
winner	🏅
winning	🏆
winter	🪾
wireless	🛜
wise	👵,🧓,👴,🦉
wisent	🦬
wish	🤲
wishbone	🦴
wishes	🧞,🧞‍♂,🧞‍♀
witch	🧙,🧙‍♂,🧙‍♀,🪄,🧹
with	😃,😄,😁,😅,😂,😊,😇,🥰,😍,😜,😝,🤗,🤭,🙄,😷,🤒,🤕,😵,😎,🧐,😮,😦,😰,😓,😤,🤬,😈,🖐️,👲,🧕,👰,👯,🥤,🏖️,😚,😙,🥲,😛,🫢,🫣,🤨,🫩,😵‍💫,🫤,👿,😸,😹,😻,😼,💘,💝,🫰,🦻,🫅,👰‍♂,👰‍♀,🧑‍🦯,👨‍🦯,👩‍🦯,👯‍♂,👯‍♀,💑,🪺,🥣,🍥,🍾,🍽,🌐,🏡,🌃,🌞,🌧,🌨,🌩,☔,🔕,📲,📸,📔,📃,💸,💹,📩,📫,📪,📬,📭,🗳,🔏,🔐,💠
without	😶,🍵,⛄
witness	👁‍🗨
wizard	🧙,🧙‍♂,🧙‍♀,🪄
wlan	🛜
woah	😯,😱,😵‍💫
wolf	🐺
woman	👩,👵,🧕,🤰,🤱,💃,🧔‍♀,👱‍♀,🙍‍♀,🙎‍♀,🙅‍♀,🙆‍♀,💁‍♀,🙋‍♀,🧏‍♀,🙇‍♀,🤦‍♀,🤷‍♀,👩‍⚕,👩‍🎓,👩‍🏫,👩‍⚖,👩‍🌾,👩‍🍳,👩‍🔧,👩‍🏭,👩‍💼,👩‍🔬,👩‍💻,👩‍🎤,👩‍🎨,👩‍✈,👩‍🚀,👩‍🚒,👮‍♀,🕵‍♀,💂‍♀,👷‍♀,👳‍♀,🤵‍♀,👰‍♀,👩‍🍼,🦸‍♀,🦹‍♀,🧙‍♀,🧚‍♀,🧛‍♀,🧝‍♀,🧞‍♀,🧟‍♀,💆‍♀,💇‍♀,🚶‍♀,🧍‍♀,🧎‍♀,👩‍🦯,👩‍🦼,👩‍🦽,🏃‍♀,🧖‍♀,🧗‍♀,🏌‍♀,🏄‍♀,🚣‍♀,🏊‍♀,🏋‍♀,🚴‍♀,🚵‍♀,🤸‍♀,🤽‍♀,🤾‍♀,🤹‍♀,🧘‍♀,👫,👚,👠,👡,👢,👒,🚺
women	👯‍♀,🤼‍♀,👭
won	😤
wonder	💭
wondering	🤔
wood	🪾,🪵,🪓
woodwind	🪈
woodwose	🫈
woohoo	🎉,🎊
wool	🐑,🦙
wooly	🦣
woozy	🥴,😵‍💫
work	👷,💦,👷‍♂,👷‍♀
worker	👷,🧑‍⚕,👨‍⚕,👩‍⚕,🧑‍🏭,👨‍🏭,👩‍🏭,🧑‍💼,👨‍💼,👩‍💼,👷‍♂,👷‍♀
workout	💪,🏋️,💦,🏋‍♂,🏋‍♀
world	🗺️,🌍,🌎,🌏,🌐
worldwide	🌐
worm	🪱
worried	😟,😨,🫦
worry	😟,🫦
worship	🛐
wow	🤩,😮,😳,😦,😧,🫨
wrap	🌯
wrapped	🎁,🫔
wrapper	🍬
wrench	🛠,🔧
wrestle	🤼,🫯,🤼‍♂,🤼‍♀
wrestling	🤼,🤼‍♂,🤼‍♀
writing	📔
wry	😼
wtv	🫥,🫤
xmas	🎅,🤶,🧑‍🎄
xoxo	😍,😘,😗,😚,💝,💖,💗,💕,💏
xray	🩻
yacht	⛵
yarn	🧶
yawn	😴,🥱
yawning	🥱
yay	😃,👏
yellow	🚕,💛,🚖,🔰,🟡,🟨
yen	💴,💹
yes	👍,🫡,🙂‍↕
yeti	🫈
yikes	😰,😓
yo	👋
yoga	🧘,🧘‍♂,🧘‍♀
yogi	🧘,🧘‍♂,🧘‍♀
yolo	😜,😝,💀,🎆
york	🗽
you	🥰,😘,😮,👋,🤟,😗,🫵,🫶,💑
young	👶,👧,🧒,👦,🌱
younger	👧,🧒,👦
yum	😋,🤤,🍴
yummy	😋,🍴
yup	💯
yurt	🛖
zany	🤪
zebra	🦓
zen	😌,🧘,🧘‍♂,🧘‍♀
zero	📥
zest	🍋‍🟩
zip	🤌,🤐
zipper	🤐
zodiac	👧,🦁,🐍,🦀,🐟,🐐,🏹,🐂,🐏,🦂,🏺
zombie	🧟,🧟‍♂,🧟‍♀
zoo	🐊,🐅,🐆,🐃,🐏
zoom	🏎️
zzz	😴,🥱,💤,🛌
